purchase_id,fiscal_year,org_code,organization,project_name,season,production_category,banner_account_code,request_type,is_credit_card,requisition_number,reference_number,po_number,invoice_number,vendor_name,title,procurement_status,budget_status,estimated_amount,requested_amount,encumbered_amount,pending_cc_amount,posted_amount,ordered_on,received_on,paid_on,notes,reporting_budget_code,reporting_line
d675d543-e3f6-4d3b-a808-5ddc1a4c83e2,FY26,2AC230,Theatre Department,Dolly West's Kitchen,Spring 2026,Costumes,11305,requisition,FALSE,R0019233,R0019233,EP018647,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0019233",invoice_sent,encumbered,84.36,0,84.36,0,0,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
5d4ba940-e1c8-4297-9096-9e2822878475,FY26,2AC230,Theatre Department,Dolly West's Kitchen,Spring 2026,Miscellaneous,11308,requisition,FALSE,R0019534,null,EP018975,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0019534,invoice_sent,encumbered,103.81,0,103.81,0,0,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11308",UNASSIGNED,Miscellaneous
ab44b0fe-6ac0-4349-b61c-6081de5c7872,FY26,2AC230,Theatre Department,Dolly West's Kitchen,Spring 2026,Rights,11309,requisition,FALSE,R0012818,null,EP012480,null,Cassarotta Ramsay and Associates,Casarotto Ramsay and Associates - R0012818,paid,posted,875,0,0,0,875,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=13220",11309,Rights
72b3f7d3-9c13-44a3-862f-523812cfbdba,FY26,2AC230,Theatre Department,Miscellaneous Production Supplies,Spring 2026,null,11303,requisition,FALSE,R0019510,R0019510,EP018904,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0019510,invoice_sent,encumbered,453.45,0,453.45,0,0,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11303",11303,Video
d9c0d118-e0c0-4da8-b8ef-7cfe8e40a009,FY26,2AC230,Theatre Department,Miscellaneous Production Supplies,Spring 2026,null,11308,requisition,FALSE,R0019653,null,EP019071,null,Propared,Propared - R0019653,ordered,encumbered,1200,0,1200,0,0,2/10/26,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=13220",11308,Miscellaneous
e536d73f-a404-4451-b82c-5cc271d299d5,null,null,null,External Procurement,null,null,null,requisition,FALSE,R0018364,R0018364,EP017853,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018364,paid,posted,4613.82,0,0,0,4613.82,null,null,null,"Imported from SienaWorks CSV. Org=2G0003, Account=15070",null,null
a2e65f43-7d25-4ac1-bcfb-7fb00acc0af6,null,null,null,External Procurement,null,null,null,requisition,FALSE,R0018365,R0018365,EP017854,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018365,paid,posted,2363.24,0,0,0,2363.24,null,null,null,"Imported from SienaWorks CSV. Org=100903, Account=11099",null,null
eebe0f95-c831-4c10-acc1-4d338286cd5b,null,null,null,External Procurement,null,null,null,requisition,FALSE,R0018663,R0018663,EP018159,null,Dream Lab Productions,Dream Lab Productions - R0018663,paid,posted,1090,0,0,0,1090,null,null,null,"Imported from SienaWorks CSV. Org=5A0001, Account=11088",null,null
ffed42d8-1cd5-4fc3-8209-a910756008ff,null,null,null,External Procurement,null,null,null,requisition,FALSE,R0018834,R0018834,EP018706,null,Dream Lab Productions,Dream Lab Productions - R0018834,invoice_received,encumbered,12247.41,0,12247.41,0,0,null,null,null,"Imported from SienaWorks CSV. Org=100903, Account=12460",null,null
32e498b4-8674-410e-a15d-e6717666be10,null,null,null,External Procurement,null,null,null,requisition,FALSE,R0019217,R0019217,EP018782,null,AJ Sign Co,AJ Sign Co - R0019217,invoice_received,encumbered,220,0,220,0,0,null,null,null,"Imported from SienaWorks CSV. Org=6EC002, Account=11031",null,null
